,mean salary,number of results used to calculate mean
Bangor University,50748.0,1.0
"Birkbeck, University of London",37801.0,1.0
Bournemouth University,21044.0,1.0
CCFE,37801.0,2.0
"Cranfield University, Cranfield, and Shrivenham",28167.0,1.0
"Durham University, Durham and Stockton-on-Tees (Queen's Campus)",37801.0,1.0
EMBL-EBI,50748.0,2.0
Earlham Institute,42117.0,3.0
IPFN/Portugal and UKAEA/UK,37801.0,1.0
Imperial College London,44275.0,4.0
James Hutton Institute,37801.0,1.0
King's College London,44275.0,2.0
Met Office,32984.0,6.0
NERC,28167.0,1.0
NHS,37801.0,1.0
NPL,37801.0,1.0
Newcastle University,39458.0,2.0
Plymouth Marine Laboratory,37801.0,1.0
"Queen Mary, University of London",37801.0,1.0
STFC,38795.0,10.0
STFC-RAL,50748.0,1.0
Science and Technology Facilities Council,37801.0,1.0
Sir Alister Hardy Foundation for Ocean Science,37801.0,1.0
"St George's, University of London",50748.0,1.0
Swansea University,28167.0,1.0
The Alan Turing Institute,50748.0,1.0
The James Hutton Institute,37801.0,1.0
UK Atomic Energy Authority,50748.0,1.0
UK Atomic Energy Authority (UKAEA),28167.0,1.0
UKAEA,40511.0,6.0
UKAEA/CCFE,28167.0,1.0
United Kingdom Atomic Energy Authority,37801.0,1.0
University College London (UCL),41046.0,9.0
University of Bath,21044.0,1.0
University of Birmingham,41038.0,4.0
University of Bristol,38353.0,6.0
University of Cambridge,40124.0,7.0
University of Dundee,37801.0,3.0
University of Edinburgh,43094.0,19.0
University of Exeter,37801.0,2.0
University of Glasgow,37801.0,2.0
University of Leeds,37801.0,6.0
University of Leicester,37801.0,1.0
University of Liverpool,37801.0,1.0
University of Manchester,41304.0,10.0
University of Nottingham,50748.0,1.0
University of Oxford,39427.0,10.0
University of Reading,46433.0,3.0
University of Sheffield,33723.0,11.0
University of Southampton,31378.0,6.0
University of St Andrews,40124.0,7.0
"University of Sussex, Falmer and Brighton",50748.0,1.0
"University of Warwick, Coventry",44275.0,2.0
University of York,37801.0,2.0
stfc,37801.0,1.0
